author,helpfulness_vote_information,id,position,rating,review_date,reviewed_version,text,title
"{'name': 'Jugsss 130', 'author_id': '1730298882'}",,13972311196,92,5,"Apr 18, 2026",Version 1.2.4,It was really good until we had to pay. Can u add a free trial please,Review
"{'name': 'Itsme.Shy', 'author_id': '1343318314'}",1 out of 1 customers found this review helpful,13971803002,93,1,"Apr 18, 2026",Version 1.2.4,Literally a waste of time. you go in and can only answer 9/15 questions before you have to pay to finish… they don’t even let you finish the first story and if you don’t wanna pay you’re stuck so you might as well delete it. story is also not even that good for the price,don’t bother downloading
"{'name': 'taya ,', 'author_id': '1912870068'}",,13971793904,94,4,"Apr 18, 2026",Version 1.2.4,"This app is honestly really fun, ive neen having trouble finding fun apps and this was a good solution but the only things i dont like is 1 - its uses ai , i believe that it is a big part of the game but its just unnecessary. It wouldn’t be too much to just get some pics from Pinterest instead of hurting the environment. 2 - you need to pay, i understand this game takes a while to make each episode but the pay is the reason i stopped playing. So overall its amazing but the ai and pay downgrades the game .",honest review .
"{'name': 'Mighty ok to', 'author_id': '1514166033'}",1 out of 1 customers found this review helpful,13971699913,95,1,"Apr 18, 2026",Version 1.2.4,MAKE IT FREE‼️‼️,FREE
"{'name': 'Okay.eh', 'author_id': '1912847291'}",1 out of 1 customers found this review helpful,13971553981,96,2,"Apr 18, 2026",Version 1.2.4,A lot more people would play this if it was free or cheaper to pay $30 is actually crazy even if that’s for a year that’s still insane,Ok
"{'name': 'Smurfy-time', 'author_id': '244365559'}",,13970999382,97,2,"Apr 18, 2026",Version 1.2.4,I was really starting to like this game when you get 1/2 way through you cannot play anymore and you have to pay.,Have to pay
"{'name': 'whataqueenyouare', 'author_id': '1732846231'}",1 out of 1 customers found this review helpful,13970328285,98,2,"Apr 18, 2026",Version 1.2.4,"Says free, but you have to pay after question 9 off rip first series. It was fun, til it wasn’t!",false advertising :(
"{'name': 'lylykoi808', 'author_id': '1441433769'}",1 out of 1 customers found this review helpful,13969692797,99,3,"Apr 18, 2026",Version 1.2.4,"it's cute and i really love the concept, i just don't personally agree with how much ai is used in this. also i don't want to pay to play this game imo it's not worth it.",cute but could be better
"{'name': 'Baddies_101', 'author_id': '1793452765'}",1 out of 1 customers found this review helpful,13969689156,100,1,"Apr 18, 2026",Version 1.2.4,"First of all you can only play for so long until it makes you pay and you don’t even get UNLIMITED HINTS. Btw one of the perks of buying was no ads, THERE IS NO ADS IN THE FIRST PLACE! This game is so bad I would rather change my grandmas diapers.",WORST GAME
"{'name': 'you dont need to know ?', 'author_id': '686526606'}",,13968869894,101,2,"Apr 17, 2026",Version 1.2.4,"great idea for a game, don't think it should be that expensive especially when its ai slop. severely disappointed /:",hmmm
"{'name': '-Kaii\U0001faf6🏻', 'author_id': '1617318412'}",1 out of 1 customers found this review helpful,13968790551,102,1,"Apr 17, 2026",Version 1.2.4,wdym i have to pay after what? 5 questions? like bro. Please fix this because the game is so so sooo good but it’s unfair you have to pay to play bro,Money??
"{'name': 'Graciegrace102910', 'author_id': '1609215562'}",1 out of 1 customers found this review helpful,13968784432,103,1,"Apr 17, 2026",Version 1.2.4,This game sucks they make you PAY after ONLY QUESTION 8 like bro what,Payments
"{'name': 'Cassidyy Morgann', 'author_id': '1132671905'}",1 out of 1 customers found this review helpful,13968758789,104,1,"Apr 17, 2026",Version 1.2.4,Imagine paying money for a game that’s almost entirely AI.,Artificial Intelligence
"{'name': 'tbando13', 'author_id': '661585602'}",1 out of 1 customers found this review helpful,13968007259,105,2,"Apr 17, 2026",Version 1.2.4,"Makes you pay after question 9, no option for free trial just a week or a year subscription",Paywall
"{'name': 'hcantrell246', 'author_id': '1344623651'}",,13967738449,106,3,"Apr 17, 2026",Version 1.2.4,"i like the app itself, fun concept and all but you can’t get very far with out having to pay to play the rest..",it’s okay
"{'name': 'Ky1sHigh', 'author_id': '1830557286'}",1 out of 1 customers found this review helpful,13966934434,107,2,"Apr 17, 2026",Version 1.2.4,"It seems like it’d be so much fun, if it didn’t come with a price tag. Everyone wants as much money as they can get, and it makes games no fun anymore. But good try.",So close
"{'name': 'tamalamium', 'author_id': '1315236816'}",1 out of 1 customers found this review helpful,13966378507,108,2,"Apr 17, 2026",Version 1.2.4,fun game but i dont wanna pay to play…,ok
"{'name': 'ihate thiS SO MUCH', 'author_id': '1520944329'}",1 out of 1 customers found this review helpful,13966373686,109,1,"Apr 17, 2026",Version 1.2.4,Fun but had to delete after question 9. nobody is going to pay just to keep answering questions.,Just no
"{'name': 'Idontwantone67', 'author_id': '1617515785'}",3 out of 3 customers found this review helpful,13948277404,110,1,"Apr 12, 2026",Version 1.2.4,makes me pay after the night question of the first series. I am very mad. Fix this right now. I am poor or give me money or else i’m never playing ever again or give me a free trial,stop this nonsense
"{'name': 'Halo galo', 'author_id': '1256029781'}",,13947497021,111,4,"Apr 11, 2026",Version 1.2.4,It’s good I just don’t wanna pay lol,It’s good!
"{'name': 'RGS ET J DTJ', 'author_id': '1675229834'}",,13946936993,112,2,"Apr 11, 2026",Version 1.2.4,This app is fun and all but I don’t like how some times it’s really hard to find stuff.and the fact that a lot of stuff in this app is ai. Cuz I don’t think is that hard to use real people. Uhhhh other than all of that this app is really interesting.,Ehhh
"{'name': 'Nahh222', 'author_id': '1536494776'}",,13804293037,113,5,"Mar 02, 2026",Version 1.1.0,I like it cool graphics this jawn tuff,Fire
